377:252281490:d=2021050900:GRLE:375 mb:anl:
378:252291378:d=2021050900:RIME:375 mb:anl:
379:252291566:d=2021050900:HGT:400 mb:anl:
380:254047712:d=2021050900:TMP:400 mb:anl:
381:254606777:d=2021050900:RH:400 mb:anl:
382:255178568:d=2021050900:DPT:400 mb:anl:
383:257382335:d=2021050900:SPFH:400 mb:anl:
384:258285524:d=2021050900:VVEL:400 mb:anl:
385:260758042:d=2021050900:DZDT:400 mb:anl:
386:261619675:d=2021050900:UGRD:400 mb:anl:
387:262814403:d=2021050900:VGRD:400 mb:anl:
388:263934390:d=2021050900:ABSV:400 mb:anl:
389:265555711:d=2021050900:TKE:400 mb:anl:
390:265794042:d=2021050900:CLWMR:400 mb:anl:
391:265797274:d=2021050900:ICMR:400 mb:anl:
392:266361982:d=2021050900:RWMR:400 mb:anl:
393:266365531:d=2021050900:SNMR:400 mb:anl:
394:266672910:d=2021050900:GRLE:400 mb:anl:
395:266683813:d=2021050900:RIME:400 mb:anl:
396:266684001:d=2021050900:HGT:425 mb:anl:
397:268451188:d=2021050900:TMP:425 mb:anl:
398:269012035:d=2021050900:RH:425 mb:anl:
399:269584595:d=2021050900:DPT:425 mb:anl:
400:271531442:d=2021050900:SPFH:425 mb:anl:
401:272483618:d=2021050900:VVEL:425 mb:anl:
402:274962530:d=2021050900:DZDT:425 mb:anl:
403:275819154:d=2021050900:UGRD:425 mb:anl:
404:277013743:d=2021050900:VGRD:425 mb:anl:
405:278134391:d=2021050900:TKE:425 mb:anl:
406:278372722:d=2021050900:CLWMR:425 mb:anl:
407:278377589:d=2021050900:ICMR:425 mb:anl:
408:278937066:d=2021050900:RWMR:425 mb:anl:
409:278942747:d=2021050900:SNMR:425 mb:anl:
410:279279188:d=2021050900:GRLE:425 mb:anl:
411:279288450:d=2021050900:RIME:425 mb:anl:
412:279288638:d=2021050900:HGT:450 mb:anl:
413:281068736:d=2021050900:TMP:450 mb:anl:
414:281632120:d=2021050900:RH:450 mb:anl:
415:282196827:d=2021050900:DPT:450 mb:anl:
416:284156170:d=2021050900:SPFH:450 mb:anl:
417:285172173:d=2021050900:VVEL:450 mb:anl:
418:287659215:d=2021050900:DZDT:450 mb:anl:
419:288506561:d=2021050900:UGRD:450 mb:anl:
420:289718309:d=2021050900:VGRD:450 mb:anl:
421:290858139:d=2021050900:TKE:450 mb:anl:
422:291096470:d=2021050900:CLWMR:450 mb:anl:
423:291104127:d=2021050900:ICMR:450 mb:anl:
424:291677149:d=2021050900:RWMR:450 mb:anl:
425:291686320:d=2021050900:SNMR:450 mb:anl:
426:292051340:d=2021050900:GRLE:450 mb:anl:
427:292063913:d=2021050900:RIME:450 mb:anl:
428:292064101:d=2021050900:HGT:475 mb:anl:
429:293855069:d=2021050900:TMP:475 mb:anl:
430:294424717:d=2021050900:RH:475 mb:anl:
431:294992035:d=2021050900:DPT:475 mb:anl:
432:296972217:d=2021050900:SPFH:475 mb:anl:
433:298079753:d=2021050900:VVEL:475 mb:anl:
434:300575385:d=2021050900:DZDT:475 mb:anl:
435:301419124:d=2021050900:UGRD:475 mb:anl:
436:302650549:d=2021050900:VGRD:475 mb:anl:
437:303811878:d=2021050900:TKE:475 mb:anl:
438:304050209:d=2021050900:CLWMR:475 mb:anl:
439:304065518:d=2021050900:ICMR:475 mb:anl:
440:304663271:d=2021050900:RWMR:475 mb:anl:
441:304680956:d=2021050900:SNMR:475 mb:anl:
442:305070434:d=2021050900:GRLE:475 mb:anl:
443:305085158:d=2021050900:RIME:475 mb:anl:
444:305085346:d=2021050900:HGT:500 mb:anl:
445:306886742:d=2021050900:TMP:500 mb:anl:
446:307455731:d=2021050900:RH:500 mb:anl:
447:308040458:d=2021050900:DPT:500 mb:anl:
448:309979318:d=2021050900:SPFH:500 mb:anl:
449:311125830:d=2021050900:VVEL:500 mb:anl:
450:313621480:d=2021050900:DZDT:500 mb:anl:
451:314454720:d=2021050900:UGRD:500 mb:anl:
452:315666004:d=2021050900:VGRD:500 mb:anl:
453:316821099:d=2021050900:ABSV:500 mb:anl:
454:318472337:d=2021050900:STRM:500 mb:anl:
455:319214580:d=2021050900:TKE:500 mb:anl:
456:319452911:d=2021050900:CLWMR:500 mb:anl:
457:319477445:d=2021050900:ICMR:500 mb:anl:
458:320091863:d=2021050900:RWMR:500 mb:anl:
459:320119868:d=2021050900:SNMR:500 mb:anl:
460:320532376:d=2021050900:GRLE:500 mb:anl:
461:320548520:d=2021050900:RIME:500 mb:anl:
462:320548708:d=2021050900:HGT:525 mb:anl:
463:322360042:d=2021050900:TMP:525 mb:anl:
464:322940216:d=2021050900:RH:525 mb:anl:
465:323521267:d=2021050900:DPT:525 mb:anl:
466:325424585:d=2021050900:SPFH:525 mb:anl:
467:326614089:d=2021050900:VVEL:525 mb:anl:
468:329111160:d=2021050900:DZDT:525 mb:anl:
469:329936351:d=2021050900:UGRD:525 mb:anl:
470:331164580:d=2021050900:VGRD:525 mb:anl:
471:332318705:d=2021050900:TKE:525 mb:anl:
472:332557036:d=2021050900:CLWMR:525 mb:anl:
473:332592029:d=2021050900:ICMR:525 mb:anl:
474:333211946:d=2021050900:RWMR:525 mb:anl:
475:333249585:d=2021050900:SNMR:525 mb:anl:
476:333679926:d=2021050900:GRLE:525 mb:anl:
477:333697561:d=2021050900:RIME:525 mb:anl:
478:333697749:d=2021050900:HGT:550 mb:anl:
